,Station Intersection,Lat,Lng
445,Margueretta St / College St W,43.651566,-79.437566
446,Cherry St / Mill St,43.6513499,-79.3573594
447,Cherry St / Distillery Ln,43.6503677,-79.3569845
448,Spadina Ave / Willcocks St,43.6613194,-79.4012928
449,Davenport Rd / Avenue Rd,43.6746978,-79.3965732
450,Mary McCormick Rec Centre (Sheridan Ave),43.6474373,-79.4328546
451,Kendal Ave / Bernard Ave,43.6719294,-79.4084322
452,King St W / Bay St (West Side),43.648724,-79.379623
453,Sterling Rd / Dundas St W,43.6506776,-79.4430582
454,Spadina Ave / Sussex Ave,43.6646188,-79.4028207
455,Parliament St / Aberdeen Ave,43.6650445,-79.3682814
456,Claremont St / Dundas St W,43.6511693,-79.4115844
457,Bay St / Wellesley St W,43.664355,-79.3871427
458,Harbord St / Clinton St,43.6602673,-79.4158311
459,Dundas St E / Broadview Ave,43.6624391,-79.3513456
460,Bathurst St / Lennox St,43.6638315,-79.4106835
461,McGill St / Church St,43.660678,-79.3788522
462,Queen St W / Close Ave,43.6407312,-79.4359476
463,51 Parliament St,43.651702,-79.3625503
464,Macpherson Ave / Spadina Rd,43.6758521,-79.4074745
465,Danforth Ave / Lamb Ave,43.6821189,-79.3293481
466,Dufferin St / Sylvan Av (Dufferin Grove Park),43.6565553,-79.4327637
467,Christie St / Benson Ave (Wychwood Barns),43.6799824,-79.4240684
468,Bloor St W / Dundas St W,43.6426108,-79.5321603
469,Dufferin St / Bloor St,43.6598576,-79.4353285
470,Hayter St / Laplante Ave,43.6590542,-79.3859663
471,Davenport Rd / Bedford Rd,43.6743644,-79.3998092
472,Essex St / Christie St,43.6683553,-79.4202547
473,Glen Edyth Dr / Davenport Rd,43.677778,-79.405556
474,Ossington Ave / Harrison St,43.650949,-79.4213583
475,Ossington Ave / College St W,43.6543876,-79.4226798
476,Landsdowne Subway Green P,43.6610633,-79.4321367
477,Davenport Rd / Christie St,43.6755784,-79.4230446
478,Stephenson Ave / Main St,43.6877284,-79.301609
479,Yonge St / Aylmer Ave,43.6755882,-79.3889658
