,Date,Time,temp,weather_main,rain_1h,rain_3h,rain_24h,rain_today
38863,2017-01-15,18:00:00,272.15,Clouds,,,,
38864,2017-01-15,19:00:00,272.55,Clouds,,,,
38865,2017-01-15,20:00:00,272.55,Clouds,,,,
38866,2017-01-15,21:00:00,272.75,Clouds,,,,
38867,2017-01-15,22:00:00,272.75,Clouds,,,,
38868,2017-01-15,23:00:00,272.34,Clouds,,,,
38869,2017-01-16,00:00:00,272.34,Clouds,,,,
38870,2017-01-16,01:00:00,271.74,Clear,,,,
38871,2017-01-16,02:00:00,271.07,Clouds,,,,
38872,2017-01-16,03:00:00,270.26,Clouds,,,,
38873,2017-01-16,04:00:00,269.82,Clouds,,,,
38874,2017-01-16,05:00:00,269.2,Clouds,,,,
38875,2017-01-16,06:00:00,268.35,Clear,,,,
38876,2017-01-16,07:00:00,268.07,Clear,,,,
38877,2017-01-16,08:00:00,267.82,Clear,,,,
38878,2017-01-16,09:00:00,267.32,Clear,,,,
38879,2017-01-16,10:00:00,267.07,Clear,,,,
38880,2017-01-16,11:00:00,267.32,Clear,,,,
38881,2017-01-16,12:00:00,267.32,Clear,,,,
38882,2017-01-16,13:00:00,267.08,Clear,,,,
38883,2017-01-16,14:00:00,267.76,Mist,,,,
38884,2017-01-16,15:00:00,270.35,Mist,,,,
38885,2017-01-16,16:00:00,271.96,Haze,,,,
38886,2017-01-16,17:00:00,273.36,Clear,,,,
38887,2017-01-16,18:00:00,274.77,Clear,,,,
38888,2017-01-16,19:00:00,275.57,Clear,,,,
38889,2017-01-16,20:00:00,275.97,Clear,,,,
38890,2017-01-16,21:00:00,276.36,Clear,,,,
38891,2017-01-16,22:00:00,275.76,Clear,,,,
38892,2017-01-16,23:00:00,274.76,Clear,,,,
38893,2017-01-17,00:00:00,274.13,Clear,,,,
38894,2017-01-17,01:00:00,274.15,Clear,,,,
38895,2017-01-17,02:00:00,272.53,Mist,,,,
38896,2017-01-17,03:00:00,272.72,Mist,,,,
38897,2017-01-17,04:00:00,272.34,Mist,,,,
38898,2017-01-17,05:00:00,272.17,Mist,,,,
38899,2017-01-17,06:00:00,272.59,Mist,,,,
38900,2017-01-17,07:00:00,272.11,Clouds,,,,
38901,2017-01-17,08:00:00,271.79,Rain,0.3,,,
38902,2017-01-17,09:00:00,272.11,Rain,0.3,,,
